ASK,BID,QUANTITY
131.913,131.877,0
131.894,131.856,0
131.893,131.867,0
131.913,131.877,0
131.914,131.886,0
131.924,131.896,0
131.954,131.896,0
131.953,131.887,0
131.934,131.896,0
131.933,131.887,0
131.953,131.907,0
131.954,131.896,0
131.954,131.896,0
131.954,131.886,0
131.914,131.886,0
131.913,131.887,0
131.913,131.887,0
131.913,131.887,0
131.913,131.887,0
131.954,131.906,0
131.983,131.947,0
131.994,131.956,0
131.994,131.946,0
131.994,131.936,0
131.974,131.926,0
132.004,131.986,0
132.003,131.987,0
132.034,131.976,0
132.014,131.976,0
132.054,132.026,0
132.054,132.016,0
132.054,132.006,0
132.053,132.017,0
132.043,132.017,0
132.043,132.007,0
132.043,132.007,0
132.043,132.007,0
132.043,132.017,0
132.044,132.006,0
132.054,132.016,0
132.093,132.047,0
132.094,132.066,0
132.094,132.046,0
132.093,132.057,0
132.094,132.046,0
132.094,132.056,0
132.093,132.047,0
132.054,132.026,0
132.053,132.017,0
132.053,132.017,0
132.044,132.016,0
132.044,132.026,0
132.043,132.007,0
132.033,131.977,0
132.014,131.986,0
132.033,131.997,0
132.004,131.986,0
131.993,131.957,0
131.984,131.956,0
131.983,131.957,0
132.003,131.967,0
132.004,131.966,0
132.003,131.977,0
132.034,132.006,0
132.053,132.017,0
132.054,132.026,0
132.053,132.017,0
132.034,131.996,0
132.033,131.997,0
132.034,132.006,0
132.034,131.996,0
132.034,131.996,0
132.053,132.017,0
132.043,132.017,0
132.074,132.036,0
132.054,132.016,0
132.073,132.037,0
132.094,132.046,0
132.063,132.037,0
132.074,132.036,0
132.064,132.036,0
132.073,132.037,0
132.044,132.006,0
132.053,131.997,0
132.054,132.006,0
132.054,131.996,0
132.033,131.977,0
132.014,131.966,0
132.043,131.997,0
132.054,132.006,0
132.023,131.997,0
132.034,131.986,0
132.034,131.996,0
131.993,131.957,0
131.994,131.936,0
132.004,131.956,0
132.033,132.007,0
132.014,131.976,0
132.014,131.966,0
131.994,131.956,0
132.014,131.956,0
131.983,131.937,0
131.993,131.947,0
131.994,131.936,0
131.993,131.947,0
131.994,131.956,0
132.033,131.987,0
132.033,131.987,0
132.033,131.997,0
132.053,132.017,0
132.034,132.016,0
132.023,131.987,0
132.004,131.976,0
132.034,131.996,0
132.074,132.036,0
132.074,132.046,0
132.094,132.056,0
132.094,132.066,0
132.114,132.066,0
132.124,132.096,0
132.124,132.086,0
132.124,132.096,0
132.124,132.096,0
132.103,132.077,0
132.104,132.066,0
132.113,132.067,0
132.093,132.057,0
132.104,132.066,0
132.103,132.087,0
132.094,132.056,0
132.093,132.067,0
132.104,132.066,0
132.093,132.067,0
132.103,132.067,0
132.084,132.046,0
132.074,132.046,0
132.093,132.047,0
132.063,132.027,0
132.073,132.027,0
132.074,132.016,0
132.053,132.017,0
132.054,132.016,0
132.033,132.007,0
132.044,132.006,0
132.043,132.017,0
132.044,132.006,0
132.043,132.017,0
132.044,132.006,0
132.043,132.017,0
132.073,132.037,0
132.093,132.057,0
132.084,132.046,0
132.074,132.036,0
132.084,132.036,0
132.073,132.047,0
132.073,132.037,0
132.053,132.017,0
132.053,132.007,0
132.034,132.006,0
132.043,131.997,0
132.053,131.997,0
132.034,131.996,0
132.013,131.977,0
132.004,131.966,0
132.003,131.977,0
132.004,131.966,0
132.004,131.976,0
132.013,131.977,0
132.003,131.967,0
132.014,131.966,0
131.964,131.936,0
131.994,131.956,0
131.984,131.946,0
131.964,131.936,0
131.944,131.916,0
131.953,131.917,0
131.974,131.936,0
131.974,131.926,0
131.974,131.936,0
131.973,131.927,0
132.013,131.967,0
132.004,131.956,0
131.993,131.947,0
131.993,131.957,0
131.993,131.947,0
131.993,131.957,0
131.993,131.947,0
132.004,131.966,0
132.004,131.956,0
131.994,131.956,0
132.004,131.956,0
132.013,131.967,0
132.013,131.977,0
132.014,131.956,0
131.994,131.956,0
132.003,131.957,0
131.984,131.956,0
131.993,131.957,0
132.014,131.956,0
131.994,131.956,0
131.994,131.956,0
131.984,131.956,0
131.974,131.936,0
131.984,131.936,0
132.013,131.977,0
132.014,131.986,0
132.054,132.016,0
132.073,132.027,0
132.053,132.017,0
132.073,132.017,0
132.074,132.026,0
132.073,132.027,0
132.073,132.017,0
132.053,132.027,0
132.053,132.017,0
132.044,132.006,0
132.034,131.996,0
132.033,131.987,0
132.034,131.996,0
132.033,131.987,0
132.034,132.006,0
132.034,131.996,0
132.054,132.006,0
132.053,132.007,0
132.043,131.997,0
132.053,132.007,0
132.083,132.057,0
132.094,132.056,0
132.094,132.056,0
132.103,132.057,0
132.104,132.056,0
132.113,132.087,0
132.133,132.097,0
132.134,132.106,0
132.124,132.086,0
132.124,132.086,0
132.134,132.096,0
132.124,132.096,0
132.134,132.096,0
132.123,132.097,0
132.093,132.067,0
132.093,132.057,0
132.064,132.026,0
132.074,132.026,0
132.074,132.026,0
132.073,132.037,0
132.074,132.026,0
132.054,132.026,0
132.053,132.027,0
132.033,132.017,0
132.043,132.017,0
132.033,132.007,0
132.013,131.977,0
131.993,131.957,0
131.984,131.946,0
132.044,132.006,0
132.034,131.996,0
132.014,131.976,0
132.034,131.986,0
132.023,131.987,0
132.003,131.967,0
131.994,131.966,0
132.004,131.966,0
132.013,131.967,0
131.963,131.937,0
131.964,131.926,0
131.964,131.946,0
131.964,131.936,0
131.954,131.926,0
131.964,131.926,0
131.954,131.916,0
131.933,131.907,0
131.934,131.896,0
131.944,131.896,0
131.933,131.897,0
131.923,131.897,0
131.934,131.896,0
131.934,131.906,0
131.893,131.847,0
131.883,131.857,0
131.883,131.847,0
131.883,131.857,0
131.883,131.847,0
131.874,131.846,0
131.883,131.847,0
131.864,131.846,0
131.853,131.817,0
131.873,131.837,0
131.873,131.837,0
131.854,131.826,0
131.864,131.836,0
131.884,131.846,0
131.873,131.837,0
131.913,131.877,0
131.913,131.867,0
131.904,131.866,0
131.893,131.857,0
131.893,131.847,0
131.883,131.847,0
131.884,131.846,0
131.883,131.837,0
131.874,131.836,0
131.873,131.827,0
131.873,131.837,0
131.883,131.847,0
131.883,131.837,0
131.884,131.846,0
131.874,131.836,0
131.843,131.827,0
131.854,131.836,0
131.853,131.827,0
131.854,131.826,0
131.853,131.827,0
131.873,131.847,0
131.874,131.836,0
131.884,131.846,0
131.933,131.887,0
131.894,131.856,0
131.893,131.867,0
131.913,131.877,0
131.913,131.867,0
131.914,131.876,0
131.904,131.866,0
131.914,131.866,0
131.914,131.886,0
131.933,131.897,0
131.933,131.887,0
131.923,131.877,0
131.914,131.876,0
131.904,131.866,0
131.923,131.877,0
131.924,131.886,0
131.914,131.886,0
131.914,131.876,0
131.933,131.887,0
131.933,131.897,0
131.954,131.916,0
131.933,131.897,0
131.954,131.906,0
131.954,131.916,0
131.944,131.906,0
131.933,131.897,0
131.914,131.876,0
131.933,131.887,0
131.934,131.896,0
131.913,131.897,0
131.903,131.867,0
131.904,131.876,0
131.914,131.876,0
131.904,131.866,0
131.894,131.876,0
131.893,131.867,0
131.893,131.877,0
131.914,131.876,0
131.923,131.887,0
131.934,131.896,0
131.934,131.896,0
131.973,131.927,0
131.963,131.927,0
131.983,131.937,0
131.984,131.946,0
131.973,131.937,0
131.973,131.927,0
131.954,131.916,0
131.944,131.906,0
131.953,131.927,0
131.954,131.916,0
131.953,131.907,0
131.934,131.896,0
131.933,131.897,0
131.913,131.887,0
131.894,131.856,0
131.893,131.847,0
131.853,131.827,0
131.874,131.826,0
131.853,131.827,0
131.853,131.817,0
131.794,131.766,0
131.803,131.767,0
131.794,131.756,0
131.784,131.746,0
